Name,Price,Currency,ID,URL
Винт поджимной с антабкой на МР-654 К,95,UAH,61702138,https://co2.prom.ua/p61702138-vint-podzhimnoj-antabkoj.html
Седло клапана МР-654,105,UAH,61702303,https://co2.prom.ua/p61702303-sedlo-klapana-654.html
Магазин МР-654К (28 серия),600,UAH,61702545,https://co2.prom.ua/p61702545-magazin-654k-seriya.html
Курок МР-654 К,170,UAH,61703273,https://co2.prom.ua/p61703273-kurok-654.html
Спусковой крючок МР-654,120,UAH,61703739,https://co2.prom.ua/p61703739-spuskovoj-kryuchok-654.html
Боёк-ударник на МР-654К,95,UAH,61703881,https://co2.prom.ua/p61703881-boyok-udarnik-654k.html
Досылатель шаров МР-654 К,85,UAH,61704072,https://co2.prom.ua/p61704072-dosylatel-sharov-654.html
Уплотнение ствола МР-654 К (28 серия),24,UAH,61704457,https://co2.prom.ua/p61704457-uplotnenie-stvola-654.html
Ствол переходник под сигнал охотника для МР-654 К (28 серия),320,UAH,61704866,https://co2.prom.ua/p61704866-stvol-perehodnik-pod.html
Ствол переходник под сигнал охотника для МР-654 К (32 серия),320,UAH,61705319,https://co2.prom.ua/p61705319-stvol-perehodnik-pod.html
Магазин ИЖ-61,60,UAH,61761477,https://co2.prom.ua/p61761477-magazin-izh.html
Рем.комплект на Аникс 3 кольца,45,UAH,61768253,https://co2.prom.ua/p61768253-remkomplekt-aniks-koltsa.html
Рем.комплект на Аникс 4 кольца,50,UAH,61775581,https://co2.prom.ua/p61775581-remkomplekt-aniks-koltsa.html
Ремкомплект прокладок на пистолет МР 651 (Корнет),50,UAH,61778318,https://co2.prom.ua/p61778318-remkomplekt-prokladok-pistolet.html
Рычаг взведения (гребенка) к МР-53М / Иж-53,220,UAH,62199717,https://co2.prom.ua/p62199717-rychag-vzvedeniya-grebenka.html
"Пружина клапана МР-654К, МР-651",35,UAH,62204883,https://co2.prom.ua/p62204883-pruzhina-klapana-654k.html
"Шатун затвора ИЖ-60 (MP 60), ИЖ-61 (MP 61)",160,UAH,62207144,https://co2.prom.ua/p62207144-shatun-zatvora-izh.html
"Винт приклада к ИЖ 61 , ИЖ 60",75,UAH,62211330,https://co2.prom.ua/p62211330-vint-priklada-izh.html
Досылатель ИЖ 60,190,UAH,62213458,https://co2.prom.ua/p62213458-dosylatel-izh.html
Рычаг взвода Baikal ИЖ 60/61,470,UAH,62213557,https://co2.prom.ua/p62213557-rychag-vzvoda-baikal.html
"Винт прицельной планки МР 512, ИЖ60, ИЖ61, ИЖ38",37,UAH,62214467,https://co2.prom.ua/p62214467-vint-pritselnoj-planki.html
Поршень на МР 512,350,UAH,62215855,https://co2.prom.ua/p62215855-porshen-512.html
Поршень на ИЖ 53 (МР 53),320,UAH,62221536,https://co2.prom.ua/p62221536-porshen-izh.html
Ось перелома + гайка МР 512,125,UAH,62223008,https://co2.prom.ua/p62223008-pereloma-gajka-512.html
Уплотнение досылателя ИЖ 60,20,UAH,62225203,https://co2.prom.ua/p62225203-uplotnenie-dosylatelya-izh.html
Шайба клапана МР 654 ,20,UAH,62232740,https://co2.prom.ua/p62232740-shajba-klapana-654.html
Головка магазина МР 654 К,200,UAH,62232823,https://co2.prom.ua/p62232823-golovka-magazina-654.html
"Мушка-пенек к МР-512, МР-513",25,UAH,62234919,https://co2.prom.ua/p62234919-mushka-penek-512.html
"Мушка-пенек к ИЖ-60, ИЖ-61",25,UAH,62234991,https://co2.prom.ua/p62234991-mushka-penek-izh.html
"Мушка ИЖ-60, ИЖ-61",25,UAH,62237249,https://co2.prom.ua/p62237249-mushka-izh-izh.html
